numTrees,maxDepth,subsamplingRate,minInstancesPerNode,featureSubsetStrategy,rmse,mae,r2
200,10,,1,auto,20.86677387724232,9.780966881853503,-0.6149641814571041
200,10,,10,auto,16.501971398149756,9.06302816416959,-0.0100059561675394
200,10,0.8,10,auto,16.33551673612286,8.859508135341125,0.0102670506750214
200,10,0.8,10,log2,16.43432206199567,9.427791245896094,-0.0017419518092367
200,10,0.8,10,sqrt,16.300631099410882,9.177253331858966,0.0144898244952593
200,10,0.8,10,all,16.435533264645056,8.899959630504142,-0.0018896131744903
200,10,0.8,10,onethird,16.33551673612286,8.859508135341125,0.0102670506750214
200,10,0.6,10,onethird,16.32783393185479,8.876958405908056,0.0111978001013446
200,5,0.8,10,onethird,16.398790509742067,9.049340681368363,0.002584964660108
100,10,0.8,10,onethird,16.447764108597266,8.968899504951047,-0.0033813220027512
100,30,0.8,10,onethird,16.38194540478976,8.952157325614412,0.0046330341836103
200,10,0.8,10,auto,16.33551673612286,8.859508135341125,0.0102670506750214
200,10,0.8,10,auto,4.698169117437872,3.486702361876686,0.040876821040248146
200,10,0.8,10,auto,3.944386760143069,2.5188124722930816,0.3239542610885714
200,10,0.8,10,auto,4.06120379221285,2.2731422705311823,0.2833177290827127
100,10,0.8,8,auto,3.944890722031125,2.502973746370847,0.32378149757785146
100,10,0.8,5,auto,3.960950025310907,2.4938273879266446,0.3182646389295878
200,30,0.8,5,auto,4.076835298428918,2.5700536055181975,0.277790115257849
50,10,0.8,5,auto,3.967437275228513,2.5120940200712703,0.31602971584446005
